200
1125223,102952,3375398,2073938,375074,2
3335,313,6531,19082,1015,49
3092273132,242345571,9104943897,22719875491,1274566941,85849485
960,205,1846,14255,289,26
143,8,295,1670,58,1
133249419,51463501,401979946,839689664,44790511,375008
1125223,102952,3375398,2073938,375074,2
1125220,140998,5250557,2527717,750075,6
2625287,235154,9000432,13119932,750075,4
750780,94614,3375658,2210782,375076,2
750233,94065,5250431,3966151,375077,6
2626462,329357,7502680,35251518,750390,32
3375312,423155,10875552,31342264,1125082,8
3340,376,6531,22194,1015,52
2914719797,230437825,8633303008,24576425945,1229267292,90489247
955,172,1847,13732,289,27
143,10,295,2109,58,1
132142591,51349472,398659065,939078911,44421559,375008
1125207,103704,3375398,2349025,375074,2
1125221,141041,5250557,4818605,750075,7
2625301,235194,9000432,14786369,750075,5
750708,94227,3375617,2213439,375074,7
750261,94090,5250425,4534257,375077,8
2626517,329344,7502677,27270292,750390,36
3375469,423253,10875520,34601719,1125082,14
3335,329,6531,19846,1015,54
2930521711,229610002,8655321564,18936786798,1237079174,85835456
954,170,1846,16613,289,25
181,24,374,1461,58,1
132082366,51323609,398479287,832205580,44401670,375007
1125208,103210,3375398,2077413,375074,2
1125226,141057,5250557,3322831,750075,5
2625388,235263,9000430,13066923,750075,7
750694,94538,3375627,2100279,375076,4
750261,94092,5250424,3877104,375077,6
2626572,329448,7502680,35484462,750390,26
3375504,423288,10875538,31265618,1125082,13
753192,50995,3375403,2170883,375074,3
3337,334,6531,20714,1015,50
2948261531,229599386,8684382756,24481730055,1246024310,75356794
957,189,1846,12300,289,30
144,11,295,2127,58,1
132178309,51365387,398768417,936559216,44433720,375010
1125209,103984,3375398,2417136,375074,2
1125224,141042,5250559,4880752,750075,14
2625371,235246,9000438,14777974,750075,5
750686,94563,3375624,2322066,375076,2
750247,94063,5250425,4495653,375077,6
2626517,329345,7502677,26469902,750390,35
3375528,423353,10875522,34759789,1125082,10
3337,339,6531,32550,1015,63
2949339390,229305381,8710887250,19609429587,1272199006,129684491
957,185,1847,15731,289,22
144,18,295,1685,58,1
132140301,51347287,398658984,841923162,44421639,375007
1125209,103428,3375398,2086395,375074,2
1125229,141075,5250558,4017011,750075,6
2625363,235203,9000431,13136197,750075,4
750689,94529,3375620,1993547,375076,3
750260,94081,5250432,3885529,375077,6
2626566,329432,7502680,35806557,750390,31
3375458,423303,10875522,31922265,1125082,10
753246,50982,3376136,1998551,375074,2
3338,341,6531,29994,1015,46
3151879434,241025167,9216228183,27337030096,1326122038,152209939
954,185,1846,12595,289,25
142,11,295,1773,58,1
133245805,51464233,401966590,944217746,44788958,375007
1125207,104037,3375398,2267677,375074,2
1125215,141000,5250556,3009917,750075,4
2625311,235173,9000436,15095644,750075,4
750773,94581,3375660,2652430,375076,3
750247,94091,5250425,4548446,375077,7
2626516,329396,7502677,26419308,750390,33
3375388,423272,10875521,34394867,1125082,10
3337,322,6531,19009,1015,52
2973878060,230525949,8742271491,20486228287,1280417936,139533529
954,144,1846,15155,289,22
142,8,295,1756,58,1
132090663,51328865,398509849,828021181,44405020,375012
1125210,102410,3375398,2129104,375074,2
1125244,141069,5250556,3987339,750075,6
2625361,235140,9000428,13182961,750075,4
750688,94511,3375619,1979054,375076,2
750274,94096,5250431,3825311,375077,5
2626565,329611,7502680,35406134,750390,32
3375463,423258,10875523,31603165,1125082,9
753170,50711,3376136,2258431,375074,3
3338,388,6531,21152,1015,50
2991521516,230044181,8771094380,24995147690,1289361384,127921108
958,171,1846,13438,289,24
145,14,295,1998,58,1
132180207,51364528,398772530,932405599,44434178,375008
1125209,103772,3375398,2382730,375074,2
1125221,141046,5250558,4304502,750075,5
2625328,235225,9000437,14942151,750075,6
750702,94540,3375631,2419639,375076,4
750247,94078,5250425,4490984,375077,9
2626516,329369,7502677,26625286,750390,28
3375419,423293,10875507,34686845,1125082,13
3337,326,6531,18527,1015,47
2992075405,232374482,8795628468,19835342307,1315277474,118118107
955,163,1847,14085,289,27
178,31,363,1694,58,1
132082674,51326486,398479265,839058096,44401648,375010
1125210,103651,3375398,2111241,375074,2
1125249,141102,5250558,3528583,750075,3
